,accessionType,authorString,citedByCount,doi,firstPublicationDate,hasBook,hasDbCrossReferences,hasLabsLinks,hasPDF,hasReferences,hasSuppl,hasTMAccessionNumbers,hasTextMinedTerms,id,inEPMC,inPMC,isOpenAccess,issue,journalIssn,journalTitle,journalVolume,pageInfo,pmcid,pmid,pubType,pubYear,source,title
12,,"Peltzer K, Rodriguez VJ, Lee TK, Jones D.",0,10.1080/09540121.2018.1455960,2018-03-25,N,N,Y,N,N,,N,N,29575943,N,N,N,,0954-0121; 1360-0451; ,AIDS Care,,1-8,,29575943,journal article,2018,MED,Prevalence of prenatal and postpartum depression and associated factors among HIV-infected women in public primary care in rural South Africa: a longitudinal study.
13,,"Mols F, Schoormans D, de Hingh I, Oerlemans S, Husson O.",0,10.1002/cncr.31369,2018-04-06,N,N,N,N,N,,N,N,29624635,N,N,N,,0008-543x; 1097-0142; ,Cancer,,,,29624635,journal article,2018,MED,"Symptoms of anxiety and depression among colorectal cancer survivors from the population-based, longitudinal PROFILES Registry: Prevalence, predictors, and impact on quality of life."
14,,"Waqas A, Elhady M, Surya Dila KA, Kaboub F, Van Trinh L, Nhien CH, Al-Husseini MJ, Kamel MG, Elshafay A, Nhi HY, Hirayama K, Huy NT.",0,10.1016/j.puhe.2018.01.036,2018-04-04,N,N,Y,N,N,,N,N,29627116,N,N,N,,0033-3506; 1476-5616; ,Public Health,,,,29627116,review; journal article; ,2018,MED,Association between maternal depression and risk of infant diarrhea: a systematic review and meta-analysis.
15,,"Xiao MM, Li JB, Jiang LL, Shao H, Wang BL.",0,10.1186/s12888-018-1672-4,2018-04-03,N,N,Y,N,N,,N,N,29615007,N,N,N,1,1471-244x,BMC Psychiatry,18,88,,29615007,journal article,2018,MED,Plasma nesfatin-1 level is associated with severity of depression in Chinese depressive patients.
16,,"Kahraman Ö, Demirci EÖ.",0,10.1111/ped.13573,2018-04-04,N,N,N,N,N,,N,N,29617061,N,N,N,,1328-8067; 1442-200x; ,Pediatr Int,,,,29617061,journal article,2018,MED,"The relationship of Internet addiction with Attention Deficit Hyperactivity Disorder; effects of anxiety, depression and self-esteem."
17,,"Wang R, Liu K, Ye X, Yan S.",0,10.3389/fpsyt.2018.00094,2018-03-19,N,N,Y,N,N,,N,N,29615939,N,N,N,,1664-0640,Front Psychiatry,9,94,,29615939,journal article,2018,MED,Association Between Cerebral Microbleeds and Depression in the General Elderly Population: A Meta-Analysis.
18,,"Rief W, Bleichhardt G, Dannehl K, Euteneuer F, Wambach K.",0,10.1159/000487893,2018-04-12,N,N,N,N,N,,N,N,29649805,N,N,N,,0033-3190; 1423-0348; ,Psychother Psychosom,,,,29649805,journal article,2018,MED,Comparing the Efficacy of CBASP with Two Versions of CBT for Depression in a Routine Care Center: A Randomized Clinical Trial.
19,,"Adams KN, Schuman TS, Ebert CS, You W, Tomoum MO, Senior BA.",0,10.4193/rhin17.238,2018-04-08,N,N,Y,N,N,,N,N,29626844,N,N,N,,0300-0729; 1996-8604; ,Rhinology,,,,29626844,journal article,2018,MED,Self-reported anxiety and depression unchanged after endoscopic sinus surgery for chronic rhinosinusitis.
20,,"Gonoodi K, Moslem A, Ahmadnezhad M, Darroudi S, Mazloum Z, Tayefi M, Tabatabaeizadeh SA, Eslami S, Shafiee M, Khashayarmanesh Z, Haghighi HM, Ferns GA, Ghayour-Mobarhan M.",0,10.1007/s12011-018-1301-6,2018-03-30,N,N,N,N,N,,N,N,29603100,N,N,N,,0163-4984; 1559-0720; ,Biol Trace Elem Res,,,,29603100,journal article,2018,MED,Relationship of Dietary and Serum Zinc with Depression Score in Iranian Adolescent Girls.
21,,"Kayser S, Bewernick BH, Wagner S, Schlaepfer TE.",0,10.1097/yct.0000000000000495,2018-04-02,N,N,Y,N,N,,N,N,29613946,N,N,N,,1095-0680; 1533-4112; ,J ECT,,,,29613946,journal article,2018,MED,Clinical Predictors of Response to Magnetic Seizure Therapy in Depression: A Preliminary Report.
22,,Albert PR.,0,10.1503/jpn.180015,2018-03-01,N,N,N,Y,Y,N,N,Y,29481314,Y,N,N,2,1180-4882; 1488-2434; ,J Psychiatry Neurosci,43,76-78,PMC5837887,29481314,editorial; journal article; ,2018,MED,Is poststroke depression the same as major depression?
23,,"Khoo S, Simms LJ.",0,10.1002/pmh.1417,2018-04-02,N,N,N,N,N,,N,N,29611346,N,N,N,,1932-8621; 1932-863x; ,Personal Ment Health,,,,29611346,journal article,2018,MED,Links between depression and openness and its facets.
24,,"Conejero I, Olié E, Calati R, Ducasse D, Courtet P.",0,10.1007/s11920-018-0893-z,2018-04-05,N,N,Y,N,N,,N,N,29623441,N,N,N,5,1523-3812; 1535-1645; ,Curr Psychiatry Rep,20,33,,29623441,review; journal article; ,2018,MED,"Psychological Pain, Depression, and Suicide: Recent Evidences and Future Directions."
25,,"Lee HY, Yu CP, Wu CD, Pan WC.",0,10.3390/ijerph15040654,2018-04-01,N,N,Y,N,N,,N,N,29614768,N,N,N,4,1661-7827; 1660-4601; ,Int J Environ Res Public Health,15,,,29614768,journal article,2018,MED,The Effect of Leisure Activity Diversity and Exercise Time on the Prevention of Depression in the Middle-Aged and Elderly Residents of Taiwan.
26,,"Schraegle WA, Nussbaum NL, Titus JB.",0,10.1017/s1355617718000140,2018-03-25,N,N,Y,N,N,,N,N,29573759,N,N,N,,1355-6177; 1469-7661; ,J Int Neuropsychol Soc,,1-11,,29573759,journal article,2018,MED,Executive Dysfunction and Depression in Pediatric Temporal Lobe Epilepsy: The Contribution of Hippocampal Sclerosis and Psychosocial Factors.
27,,"Machaczek KK, Allmark P, Goyder E, Grant G, Ricketts T, Pollard N, Booth A, Harrop D, de-la Haye S, Collins K, Green G.",0,10.1186/s12889-018-5270-7,2018-03-21,N,N,N,N,Y,,N,Y,29562904,Y,N,N,1,1471-2458,BMC Public Health,18,392,PMC5863463,29562904,journal article,2018,MED,A scoping study of interventions to increase the uptake of physical activity (PA) amongst individuals with mild-to-moderate depression (MMD).
28,,"Xiao T, Qiu H, Chen Y, Zhou X, Wu K, Ruan X, Wang N, Fu C.",0,10.1186/s12888-018-1671-5,2018-04-04,N,N,Y,N,N,,N,N,29614998,N,N,N,1,1471-244x,BMC Psychiatry,18,89,,29614998,journal article,2018,MED,"Prevalence of anxiety and depression symptoms and their associated factors in mild COPD patients from community settings, Shanghai, China: a cross-sectional study."
29,,"Xiaowen W, Guangping G, Ling Z, Jiarui Z, Xiumin L, Zhaoqin L, Hongzhuan L, Yuyan Y, Liyuan Y, Lin L.",0,10.1080/09540121.2018.1456640,2018-04-01,N,N,Y,N,N,,N,N,29607666,N,N,N,,0954-0121; 1360-0451; ,AIDS Care,,1-9,,29607666,journal article,2018,MED,Depression and anxiety mediate perceived social support to predict health-related quality of life in pregnant women living with HIV.
30,,"Hidese S, Saito K, Asano S, Kunugi H.",0,10.1111/pcn.12656,2018-03-30,N,N,Y,N,N,,N,N,29603506,N,N,N,,1323-1316; 1440-1819; ,Psychiatry Clin Neurosci,,,,29603506,journal article,2018,MED,Association between iron deficiency anemia and depression: A web-based Japanese investigation.
31,,"Lee YY, Stockings EA, Harris MG, Doi SAR, Page IS, Davidson SK, Barendregt JJ.",0,10.1017/s0033291718000557,2018-03-13,N,N,N,N,N,,N,N,29530112,N,N,N,,0033-2917; 1469-8978; ,Psychol Med,,1-11,,29530112,journal article,2018,MED,The risk of developing major depression among individuals with subthreshold depression: a systematic review and meta-analysis of longitudinal cohort studies.
32,,"Goodarzi Z, Hanson HM, Jette N, Patten S, Pringsheim T, Holroyd-Leduc J.",0,10.1017/s0714980818000053,2018-04-05,N,N,Y,N,N,,N,N,29618389,N,N,N,,0714-9808; 1710-1107; ,Can J Aging,,1-15,,29618389,journal article,2018,MED,Barriers and Facilitators for Guidelines with Depression and Anxiety in Parkinson's Disease or Dementia.
33,,"Dai Q, Yin X, Li H, Feng Z.",0,10.1002/hbm.24051,2018-03-25,N,N,Y,N,N,,N,N,29575563,N,N,N,,1065-9471; 1097-0193; ,Hum Brain Mapp,,,,29575563,journal article,2018,MED,Orbito-frontal cortex mechanism of inhibition of return in current and remitted depression.
34,,"Brown SL, Hope-Stone L, Heimann H, Damato B, Salmon P.",0,10.1002/pon.4715,2018-03-30,N,N,N,N,N,,N,N,29601654,N,N,N,,1057-9249; 1099-1611; ,Psychooncology,,,,29601654,journal article,2018,MED,Predictors of anxiety and depression two years following treatment in uveal melanoma survivors.
35,,"Ulbricht CM, Chrysanthopoulou SA, Levin L, Lapane KL.",0,10.1016/j.psychres.2018.03.003,2018-03-17,N,N,Y,N,N,,N,N,29605104,N,N,N,,0165-1781; 1872-7123; ,Psychiatry Res,,,,29605104,review; journal article; ,2018,MED,The use of latent class analysis for identifying subtypes of depression: A systematic review.
36,,Tanaka K.,0,10.1111/jocn.14359,2018-03-24,N,N,N,N,N,,N,N,29573502,N,N,N,,0962-1067; 1365-2702; ,J Clin Nurs,,,,29573502,journal article,2018,MED,Strengths Promoting the Recovery Process in Older Adults with Depression.
37,,"Sarkisova KY, Gabova AV.",0,10.1111/gbb.12477,2018-03-31,N,N,Y,N,N,,N,N,29604188,N,N,N,,1601-1848; 1601-183x; ,Genes Brain Behav,,e12477,,29604188,journal article,2018,MED,Maternal care exerts disease-modifying effects on genetic absence epilepsy and comorbid depression.
38,,"Toft H, Neupane SP, Bramness JG, Tilden T, Wampold BE, Lien L.",0,10.1186/s12888-018-1677-z,2018-04-10,N,N,Y,N,N,,N,N,29631540,N,N,N,1,1471-244x,BMC Psychiatry,18,95,,29631540,journal article,2018,MED,The effect of trauma and alcohol on the relationship between level of cytokines and depression among patients entering psychiatric treatment.
39,,"Agarwal A, Batra S, Prasad R, Verma A, Jilani AQ, Kant S.",0,10.4081/monaldi.2018.902,2018-03-19,N,N,N,N,N,,N,N,29557571,N,N,N,1,1122-0643,Monaldi Arch Chest Dis,88,902,,29557571,journal article,2018,MED,A study on the prevalence of depression and the severity of depression in patients of chronic obstructive pulmonary disease in a semi-urban Indian population.
40,,"Patel VP, Feinstein A.",0,10.1177/1352458518770086,2018-04-01,N,N,N,N,N,,N,N,29648500,N,N,N,,1352-4585; 1477-0970; ,Mult Scler,,1352458518770086,,29648500,journal article,2018,MED,The link between depression and performance on the Symbol Digit Modalities Test: Mechanisms and clinical significance.
41,,"Wainsztein N, Rodríguez Lucci F.",0,10.1016/j.nec.2017.11.003,2018-04-01,N,N,Y,N,N,,N,N,29502713,N,N,N,2,1042-3680; 1558-1349; ,Neurosurg Clin N Am,29,223-229,,29502713,review; journal article; ,2018,MED,Cortical Spreading Depression and Ischemia in Neurocritical Patients.
42,,"Maheri A, Sadeghi R, Shojaeizadeh D, Tol A, Yaseri M, Rohban A.",0,10.4082/kjfm.2018.39.2.101,2018-03-22,N,N,N,N,N,,N,N,29629042,N,N,N,2,2005-6443; 2092-6715; ,Korean J Fam Med,39,101-107,,29629042,journal article,2018,MED,"Depression, Anxiety, and Perceived Social Support among Adults with Beta-Thalassemia Major: Cross-Sectional Study."
43,,"Chen B, Zhong X, Mai N, Peng Q, Wu Z, Ouyang C, Zhang W, Liang W, Wu Y, Liu S, Chen L, Ning Y.",0,10.1093/ijnp/pyy016,2018-03-15,N,N,Y,N,Y,,N,N,29554341,N,N,N,,1461-1457; 1469-5111; ,Int J Neuropsychopharmacol,,,,29554341,journal article,2018,MED,Cognitive Impairment and Structural Abnormalities in Late Life Depression with Olfactory Identification Impairment: an Alzheimer's Disease-Like Pattern.
44,,"Laikowski MM, Reisdorfer F, Moura S.",0,10.2174/0929867325666180410105135,2018-04-09,N,N,N,N,N,,N,N,29637850,N,N,N,,0929-8673; 1875-533x; ,Curr Med Chem,,,,29637850,journal article,2018,MED,"NAChR α4β2 subtype and their relation with nicotine addiction, cognition, depression and hyperactivity disorder."
45,,"Akena D, Joska J, Stein DJ.",0,10.1192/bjp.2018.9,2018-03-20,N,N,Y,N,N,,N,N,29554984,N,N,N,,0007-1250; 1472-1465; ,Br J Psychiatry,,1-7,,29554984,journal article,2018,MED,Sensitivity and specificity of the Akena Visual Depression Inventory (AViDI-18) in Kampala (Uganda) and Cape Town (South Africa).
46,,"Zhong QY, Gelaye B, VanderWeele TJ, Sanchez SE, Williams MA.",0,10.1093/aje/kwy067,2018-04-03,N,N,N,N,N,,N,N,29617921,N,N,N,,0002-9262; 1476-6256; ,Am J Epidemiol,,,,29617921,journal article,2018,MED,Causal Model of Social Support on Antepartum Depression: A Marginal Structural Modeling Approach.
47,,"Lesenskyj AM, Samples MP, Farmer JM, Maxwell CR.",0,10.1186/s40035-018-0113-0,2018-03-22,N,N,Y,N,Y,,N,Y,29588852,Y,N,N,,2047-9158,Transl Neurodegener,7,8,PMC5863446,29588852,review; journal article; ,2018,MED,Treating refractory depression in Parkinson's disease: a meta-analysis of transcranial magnetic stimulation.
48,,"January J, Madhombiro M, Chipamaunga S, Ray S, Chingono A, Abas M.",0,10.1186/s13643-018-0723-8,2018-04-10,N,N,N,N,N,,N,N,29636088,N,N,N,1,2046-4053,Syst Rev,7,57,,29636088,journal article,2018,MED,Prevalence of depression and anxiety among undergraduate university students in low- and middle-income countries: a systematic review protocol.
49,,"Choi KW, Houts R, Arseneault L, Pariante C, Sikkema KJ, Moffitt TE.",0,10.1017/s0954579418000032,2018-03-22,N,N,Y,N,N,,N,N,29562945,N,N,N,,0954-5794; 1469-2198; ,Dev Psychopathol,,1-14,,29562945,journal article,2018,MED,Maternal depression in the intergenerational transmission of childhood maltreatment and its sequelae: Testing postpartum effects in a longitudinal birth cohort.
50,,"Zanirati G, Azevedo PN, Venturin GT, Greggio S, Alcará AM, Zimmer ER, Feltes PK, DaCosta JC.",0,10.1111/epi.14057,2018-03-30,N,N,Y,N,N,,N,N,29600825,N,N,N,,0013-9580; 1528-1167; ,Epilepsia,,,,29600825,journal article,2018,MED,Depression comorbidity in epileptic rats is related to brain glucose hypometabolism and hypersynchronicity in the metabolic network architecture.
51,,"Dokuzlar O, Soysal P, Usarel C, Isik AT.",0,10.1017/s1041610218000236,2018-03-21,N,N,N,N,N,,N,N,29560848,N,N,N,,1041-6102; 1741-203x; ,Int Psychogeriatr,,1-8,,29560848,journal article,2018,MED,The evaluation and design of a short depression screening tool in Turkish older adults.
52,,"Fialho R, Pereira M, Gilleece Y, Rusted J, Whale R.",0,10.1080/03630242.2018.1449778,2018-04-09,N,N,N,N,N,,N,N,29630491,N,N,N,,0363-0242; 1541-0331; ,Women Health,,,,29630491,journal article,2018,MED,A longitudinal study assessing depression in hepatitis C: does gender play a role in the new-onset depression during interferon-alpha treatment?
53,,"Guo N, Robakis T, Miller C, Butwick A.",0,10.1097/aog.0000000000002535,2018-03-08,N,N,Y,N,N,,N,N,29528926,N,N,N,4,0029-7844; 1873-233x; ,Obstet Gynecol,131,671-679,,29528926,journal article,2018,MED,Prevalence of Depression Among Women of Reproductive Age in the United States.
54,,Herrmann-Lingen C.,0,10.1007/s00108-018-0405-6,2018-03-20,N,N,N,N,N,,N,N,29557494,N,N,N,,0020-9554; 1432-1289; ,Internist (Berl),,,,29557494,review; journal article; english abstract; ,2018,MED,[Chronic heart failure and depression].
55,,"Dudek JE, Białaszek W, Ostaszewski P, Smidt T.",0,10.1080/13548506.2018.1459750,2018-04-03,N,N,N,N,N,,N,N,29614880,N,N,N,,1354-8506; 1465-3966; ,Psychol Health Med,,1-8,,29614880,journal article,2018,MED,Depression and appearance-related distress in functioning with lipedema.
56,,"Pino EC, Zuo Y, Borba CP, Henderson DC, Kalesan B.",0,10.1016/j.psychres.2018.03.025,2018-03-20,N,N,N,N,N,,N,N,29615266,N,N,N,,0165-1781; 1872-7123; ,Psychiatry Res,,,,29615266,journal article,2018,MED,Clinical depression and anxiety among ST-elevation myocardial infarction hospitalizations: Results from Nationwide Inpatient Sample 2004-2013.
57,,"Shaheen AA, Kaplan GG, Almishri W, Vallerand I, Frolkis AD, Patten S, Swain MG.",0,10.1371/journal.pone.0194839,2018-04-04,N,N,Y,N,N,,N,N,29617396,N,N,N,4,1932-6203,PLoS One,13,e0194839,,29617396,journal article,2018,MED,The impact of depression and antidepressant usage on primary biliary cholangitis clinical outcomes.
58,,"Amen DG, Taylor DV, Meysami S, Raji CA.",0,10.3233/jad-170855,2018-03-22,N,N,Y,N,N,,N,N,29578481,N,N,N,,1387-2877; 1875-8908; ,J Alzheimers Dis,,,,29578481,journal article,2018,MED,Deficits in Regional Cerebral Blood Flow on Brain SPECT Predict Treatment Resistant Depression.
59,,"Mehrotra S, Sudhir P, Rao G, Thirthalli J, Srikanth TK.",0,10.3390/bs8040036,2018-03-22,N,N,Y,N,N,,N,N,29565278,N,N,N,4,2076-328x,Behav Sci (Basel),8,,,29565278,journal article,2018,MED,Development and Pilot Testing of an Internet-Based Self-Help Intervention for Depression for Indian Users.
60,,"Tan EC, Lim HW, Chua TE, Tan HS, Lee TM, Chen HY.",0,10.2147/ndt.s160424,2018-03-29,N,N,N,N,N,,N,N,29636617,N,N,N,,1176-6328; 1178-2021; ,Neuropsychiatr Dis Treat,14,919-925,,29636617,journal article,2018,MED,Investigation of variants in estrogen receptor genes and perinatal depression.
61,,"Parker GB, Cvejic E, Vollmer-Conna U, McCraw S, Granville Smith I, Walsh WF.",0,10.1177/0004867418763730,2018-03-01,N,N,N,N,N,,N,N,29565178,N,N,N,,0004-8674; 1440-1614; ,Aust N Z J Psychiatry,,4867418763730,,29565178,journal article,2018,MED,Depression and poor outcome after an acute coronary event: Clarification of risk periods and mechanisms.
62,,"López-Pérez B, Deeprose C, Hanoch Y.",0,10.1371/journal.pone.0191551,2018-03-15,N,N,Y,N,Y,,N,Y,29543833,Y,N,N,3,1932-6203,PLoS One,13,e0191551,PMC5854238,29543833,journal article,2018,MED,Prospective mental imagery as its link with anxiety and depression in prisoners.
63,,"Kaur M, Agnihotri M, Das K, Rai B, Ghai S.",0,10.4103/apjon.apjon_56_17,2018-04-01,N,N,Y,N,N,,N,N,29607380,N,N,N,2,2347-5625; 2349-6673; ,Asia Pac J Oncol Nurs,5,195-200,,29607380,journal article,2018,MED,"Effectiveness of an Interventional Package on the Level of Anxiety, Depression, and Fatigue among Patients with Cervical Cancer."
64,,"Blumenthal KG, Li Y, Acker WW, Chang Y, Banerji A, Ghaznavi S, Camargo CA, Zhou L.",0,10.1111/all.13440,2018-03-25,N,N,N,N,N,,N,N,29574787,N,N,N,,0105-4538; 1398-9995; ,Allergy,,,,29574787,journal article,2018,MED,Multiple Drug Intolerance Syndrome and Multiple Drug Allergy Syndrome: Epidemiology and Associations with Anxiety and Depression.
65,,"Nuñez NA, Comai S, Dumitrescu E, Ghabrash MF, Tabaka J, Saint-Laurent M, Vida S, Kolivakis T, Fielding A, Low N, Cervantes P, Booij L, Gobbi G.",0,10.1186/s12888-018-1641-y,2018-03-16,N,N,Y,N,Y,,N,Y,29548306,Y,N,N,1,1471-244x,BMC Psychiatry,18,68,PMC5857132,29548306,journal article,2018,MED,Psychopathological and sociodemographic features in treatment-resistant unipolar depression versus bipolar depression: a comparative study.
66,,"Bar-Zomer J, Brunstein Klomek A.",0,10.3389/fpsyt.2018.00072,2018-03-12,N,N,Y,N,Y,,N,Y,29593583,Y,N,N,,1664-0640,Front Psychiatry,9,72,PMC5857527,29593583,journal article,2018,MED,Attachment to Parents As a Moderator in the Association between Sibling Bullying and Depression or Suicidal Ideation among Children and Adolescents.
67,,"Kruse RC, Li Z, Prideaux CC, Brown AW.",0,10.1016/j.pmrj.2018.03.003,2018-03-14,N,N,Y,N,N,,N,N,29550411,N,N,N,,1934-1482; 1934-1563; ,PM R,,,,29550411,journal article,2018,MED,Pharmacologic Treatment for Depression at Injury Is Associated With Fewer Clinician Visits for Persistent Symptoms After Mild Traumatic Brain Injury: A Medical Record Review Study.
68,,"Omranifard V, Haghighizadeh E, Akouchekian S.",0,10.4103/2277-9175.225924,2018-02-21,N,N,N,N,Y,N,N,Y,29531932,Y,N,Y,,2277-9175,Adv Biomed Res,7,34,PMC5841004,29531932,research-article; journal article; ,2018,MED,Depression in Main Caregivers of Dementia Patients: Prevalence and Predictors.
69,,"Adjaye-Gbewonyo D, Rebok GW, Gallo JJ, Gross AL, Underwood CR.",0,10.1080/13607863.2018.1450839,2018-04-10,N,N,N,N,N,,N,N,29634295,N,N,N,,1360-7863; 1364-6915; ,Aging Ment Health,,1-10,,29634295,journal article,2018,MED,Urbanicity of residence and depression among adults 50 years and older in Ghana and South Africa: an analysis of the WHO Study on Global AGEing and Adult Health (SAGE).
70,,"Lin Y, Huang S, Simon GE, Liu S.",0,10.1038/s41598-018-23326-1,2018-03-22,N,N,Y,N,Y,,N,Y,29567970,Y,N,N,1,2045-2322,Sci Rep,8,5064,PMC5864956,29567970,journal article,2018,MED,Data-based Decision Rules to Personalize Depression Follow-up.
71,,"Adewuya AO, Coker OA, Atilola O, Ola BA, Zachariah MP, Adewumi T, Olugbile O, Fasawe A, Idris O.",0,10.1007/s00737-018-0839-9,2018-03-28,N,N,Y,N,N,,N,N,29594370,N,N,N,,1434-1816; 1435-1102; ,Arch Womens Ment Health,,,,29594370,journal article,2018,MED,"Gender difference in the point prevalence, symptoms, comorbidity, and correlates of depression: findings from the Lagos State Mental Health Survey (LSMHS), Nigeria."
72,,"Seo Y, Je Y.",0,10.1016/j.psychres.2018.02.052,2018-02-26,N,N,N,N,N,,N,N,29510344,N,N,N,,0165-1781; 1872-7123; ,Psychiatry Res,263,88-93,,29510344,journal article,2018,MED,A comparative study on cardiovascular disease risk factors in Korean adults according to clinical depression status.
73,,"Swanson LM, Burgess HJ, Zollars J, Todd Arnedt J.",0,10.1007/s00737-018-0836-z,2018-03-30,N,N,Y,N,N,,N,N,29603017,N,N,N,,1434-1816; 1435-1102; ,Arch Womens Ment Health,,,,29603017,journal article,2018,MED,An open-label pilot study of a home wearable light therapy device for postpartum depression.
74,,"Ahmad A, Abujbara M, Jaddou H, Younes NA, Ajlouni K.",0,10.14740/jocmr3352w,2018-03-16,N,N,Y,N,Y,,N,Y,29581804,Y,N,N,5,1918-3003; 1918-3011; ,J Clin Med Res,10,411-418,PMC5862089,29581804,journal article,2018,MED,Anxiety and Depression Among Adult Patients With Diabetic Foot: Prevalence and Associated Factors.
75,,"Jalali F, Hashemi SF.",0,10.1080/10826084.2018.1447583,2018-03-15,N,N,Y,N,Y,,N,N,29543538,N,N,N,,1082-6084; 1532-2491; ,Subst Use Misuse,,1-7,,29543538,journal article,2018,MED,The Effect of Saffron on Depression among Recovered Consumers of Methamphetamine Living with HIV/AIDS.
76,,"Tang J, Yu W, Chen S, Gao Z, Xiao B.",0,10.1007/s11064-018-2504-0,2018-03-24,N,N,Y,N,N,,N,N,29574669,N,N,N,,0364-3190; 1573-6903; ,Neurochem Res,,,,29574669,journal article,2018,MED,Microglia Polarization and Endoplasmic Reticulum Stress in Chronic Social Defeat Stress Induced Depression Mouse.
77,,"Victoria LW, Gunning FM, Bress JN, Jackson D, Alexopoulos GS.",0,10.1002/gps.4877,2018-03-24,N,N,N,N,N,,N,N,29573471,N,N,N,,0885-6230; 1099-1166; ,Int J Geriatr Psychiatry,,,,29573471,journal article,2018,MED,Reward learning impairment and avoidance and rumination responses at the end of Engage therapy of late-life depression.
